3pnx, 3njc, 0.306165, 0.301136
3pnx, 1a5v, 0.318158, 0.312968
3pnx, 2q9s, 0.297714, 0.272666
3pnx, 1d2a, 0.353106, 0.363374
3pnx, 1ws0, 0.272339, 0.273687
3pnx, 3qra, 0.220997, 0.222955
3pnx, 2wo3, 0.257123, 0.284791
3pnx, 2g1u, 0.395995, 0.368426
3pnx, 1r62, 0.234215, 0.220107
3pnx, 3hgb, 0.266202, 0.247248
3pnx, 3fiq, 0.269171, 0.273557
3pnx, 1n1f, 0.283935, 0.287717
3pnx, 2isy, 0.311174, 0.305352
3pnx, 1rxd, 0.320486, 0.316099
3pnx, 3mtq, 0.353384, 0.332937
3pnx, 3o6q, 0.288309, 0.277019
3pnx, 2ihd, 0.274812, 0.247424
3pnx, 1e7l, 0.218659, 0.225312
3pnx, 3tcz, 0.250184, 0.245923
3pnx, 2g2x, 0.303075, 0.298143
3pnx, 4kng, 0.131405, 0.322132
3pnx, 2dxd, 0.310198, 0.316439
3pnx, 1m7e, 0.263108, 0.263108
3pnx, 2xeh, 0.28984, 0.299061
3pnx, 3ni8, 0.26009, 0.249298
3pnx, 1f3f, 0.319102, 0.319102
3pnx, 1qjc, 0.357654, 0.370543
3pnx, 3exn, 0.29524, 0.297834
3pnx, 2d5k, 0.314091, 0.311408
3pnx, 1zce, 0.284073, 0.270783
3pnx, 1qst, 0.295875, 0.309094
3pnx, 1k4z, 0.284589, 0.294022
3pnx, 2gey, 0.22516, 0.232412
3pnx, 2wcr, 0.243029, 0.239862
3pnx, 3fhv, 0.303537, 0.303537
3pnx, 2b98, 0.381292, 0.364388
3pnx, 2rh0, 0.262142, 0.242911
3pnx, 2nwu, 0.28938, 0.260371
3pnx, 2ywx, 0.36829, 0.380894
3pnx, 2r19, 0.246258, 0.231055
3pnx, 3fg9, 0.410412, 0.416558
3pnx, 2ppt, 0.277838, 0.276712
3pnx, 2bl2, 0.254372, 0.261323
3pnx, 1kyv, 0.359094, 0.354088
3pnx, 4am5, 0.2804, 0.291456
3pnx, 1ew3, 0.289863, 0.302279
3pnx, 2wal, 0.306783, 0.305307
3pnx, 1gvc, 0.280143, 0.289069
3pnx, 3nrp, 0.282297, 0.284545
3pnx, 1s3j, 0.268492, 0.252109
3pnx, 2fa1, 0.275857, 0.28646
3pnx, 3kmv, 0.28722, 0.270541
3pnx, 2qcb, 0.270201, 0.239345
3pnx, 2dyc, 0.250059, 0.238427
3pnx, 3k67, 0.260255, 0.267282
3pnx, 2z0u, 0.266306, 0.239095
3pnx, 2fu0, 0.27012, 0.276086
3pnx, 4g9y, 0.273714, 0.256935
3pnx, 2apl, 0.253525, 0.249884
3pnx, 3rt3, 0.20852, 0.211045
3pnx, 3n1r, 0.272058, 0.272058
3pnx, 3brn, 0.276569, 0.280111
3pnx, 2os9, 0.282684, 0.283962
3pnx, 2oeb, 0.319648, 0.322581
3pnx, 3r6g, 0.306581, 0.316568
3pnx, 2dxc, 0.231278, 0.203379
3pnx, 1elk, 0.318202, 0.323056
3pnx, 2gjd, 0.23963, 0.245196
3pnx, 1np8, 0.266017, 0.264825
3pnx, 4h3u, 0.26999, 0.241567
3pnx, 2prx, 0.266413, 0.219751
3pnx, 2efr, 0.124752, 0.128129
3pnx, 2r0x, 0.257102, 0.260088
3pnx, 3zvs, 0.273216, 0.283616
3pnx, 1g43, 0.245965, 0.25643
3pnx, 3hhj, 0.292881, 0.266634
3pnx, 3jqj, 0.240068, 0.237143
3pnx, 3fh3, 0.241619, 0.229801
3pnx, 2riq, 0.250076, 0.232673
3pnx, 3hrd, 0.148573, 0.314775
3pnx, 2wb3, 0.198323, 0.202239
3pnx, 1ns5, 0.307329, 0.306173
3pnx, 3gxh, 0.298561, 0.299879
3pnx, 2hlj, 0.246002, 0.246002
3pnx, 3kol, 0.266339, 0.25938
3pnx, 3nqn, 0.254555, 0.253353
3pnx, 2c2z, 0.311277, 0.309938
3pnx, 1cw0, 0.288194, 0.294037
3pnx, 2fup, 0.409353, 0.358212
3pnx, 2ast, 0.249988, 0.241304
3pnx, 1h0a, 0.297751, 0.308229
3pnx, 1vl7, 0.312095, 0.291794
3pnx, 1fjj, 0.300709, 0.306206
3pnx, 1zv4, 0.253856, 0.241254
3pnx, 3lru, 0.24124, 0.253028
3pnx, 1hjr, 0.307115, 0.317557
3pnx, 1czt, 0.243633, 0.25362
3pnx, 2f59, 0.321664, 0.315745
3pnx, 3klu, 0.2896, 0.249512
3pnx, 1xvw, 0.333331, 0.344133
3pnx, 4lhr, 0.277117, 0.257403
3pnx, 1lk3, 0.310993, 0.292094
3pnx, 3h0d, 0.23391, 0.230726
3pnx, 4f0u, 0.262038, 0.272822
3pnx, 3typ, 0.245916, 0.241763
3pnx, 3oue, 0.218996, 0.226458
3pnx, 3tl1, 0.255486, 0.264686
3pnx, 1gui, 0.250869, 0.256371
3pnx, 3clj, 0.335494, 0.328937
3pnx, 1gtz, 0.429625, 0.427444
3pnx, 4ea4, 0.263875, 0.249554
3pnx, 2aj6, 0.307699, 0.262972
3pnx, 2f9z, 0.238811, 0.28218
3pnx, 1vkc, 0.293328, 0.291943
3pnx, 3ggn, 0.269794, 0.24643
3pnx, 1dyo, 0.246323, 0.249439
3pnx, 3ksf, 0.297873, 0.300663
3pnx, 4ijx, 0.24878, 0.245686
3pnx, 1a34, 0.24196, 0.239075
3pnx, 1zd7, 0.261476, 0.271297
3pnx, 4bmw, 0.28954, 0.284013
3pnx, 2amt, 0.315358, 0.323928
3pnx, 1grj, 0.254445, 0.255589
3pnx, 2pn2, 0.26058, 0.241123
3pnx, 1wwz, 0.305087, 0.314263
3pnx, 3qy3, 0.269697, 0.243988
3pnx, 1e30, 0.269295, 0.272868
3pnx, 3zpa, 0.195981, 0.349976
3pnx, 3hm4, 0.288541, 0.284626
3pnx, 3oj6, 0.308051, 0.284681
3pnx, 2ypj, 0.272226, 0.238985
3pnx, 2b06, 0.257192, 0.257192
